date,rank,username,viewer_count,game_name
2021-01-01,1,xQc,55266,Counter-Strike: Global Offensive
2021-01-01,2,Fanum,21136,Grand Theft Auto V
2021-01-01,3,Jinnytty,16008,Just Chatting
2021-01-01,4,summit1g,13716,World of Warcraft
2021-01-01,5,moistcr1tikal,12091,Star Wars Jedi: Survivor
2021-01-01,6,PENTA,9472,Grand Theft Auto V
2021-01-01,7,Maximilian_DOOD,9146,Tekken 3
2021-01-01,8,shroud,8674,World of Warcraft
2021-01-01,9,CDawgVA,8636,Dead Island 2
2021-01-01,10,AmazonMusic,8316,Music
2021-01-01,11,Clix,6751,Just Chatting
2021-01-01,12,Faide,6313,Apex Legends
2021-01-01,13,supertf,5408,VALORANT
2021-01-01,14,Masayoshi,5043,VALORANT
2021-01-01,15,tarzaned,4641,League of Legends
2021-01-01,16,kyootbot,4549,Just Chatting
2021-01-01,17,midbeast,4412,League of Legends
2021-01-01,18,jasontheweenie,4385,Counter-Strike: Global Offensive
2021-01-01,19,zanderfps,4326,VALORANT
2021-01-01,20,plaqueboymax,4310,Just Chatting
2021-01-01,21,fobm4ster,3656,Honkai: Star Rail
2021-01-01,22,robcdee,3637,Just Chatting
2021-01-01,23,DiazBiffle,3435,Call of Duty: Warzone
2021-01-01,24,Stewie2K,3388,VALORANT
2021-01-01,25,Xeppaa,3276,VALORANT
2021-01-01,26,Rogue,3206,Apex Legends
2021-01-01,27,Saiiren,2938,Just Chatting
2021-01-01,28,roflgator,2897,VRChat
2021-01-01,29,RealzBlueWater,2764,MADiSON
2021-01-01,30,Yuzu,2753,Resident Evil 2
2021-01-01,31,Grimm,2665,VALORANT
2021-01-01,32,Surefour,2635,Outer Wilds
2021-01-01,33,KatEvolved,2581,League of Legends
2021-01-01,34,Aurateur,2544,Super Mario Maker 2
2021-01-01,35,Liam,2493,Super Mario 64
2021-01-01,36,Annoying,2457,Grand Theft Auto V
2021-01-01,37,Calebhart42,2418,Pokémon HeartGold/SoulSilver
2021-01-01,38,AdrianaChechik_,2280,Star Wars Jedi: Survivor
2021-01-01,39,cdewx,2267,World of Warcraft
2021-01-01,40,setsukotft,2259,Teamfight Tactics
2021-01-01,41,AsmodaiTV,2226,Hearthstone
2021-01-01,42,OhTofu,2220,Dead by Daylight
2021-01-01,43,Kxpture,2176,Call of Duty: Warzone
2021-01-01,44,Xlice,2135,Honkai: Star Rail
2021-01-01,45,koil,2105,Counter-Strike: Global Offensive
2021-01-01,46,AvoidingThePuddle,2087,Path of Exile
2021-01-01,47,Replays,2064,Fortnite
2021-01-01,48,Gladd,2038,Star Wars Jedi: Survivor
2021-01-01,49,SunBaconRelaxer,2022,Hearthstone
2021-01-01,50,SlotsMarko,2012,Slots
2021-01-01,51,MajinPhil,1998,Pokémon HeartGold/SoulSilver
2021-01-01,52,KingGeorge,1980,Tom Clancy's Rainbow Six Siege
2021-01-01,53,Nadia,1953,Call of Duty: Warzone
2021-01-01,54,Bugs,1801,FIFA 23
2021-01-01,55,sneakylol,1796,Honkai: Star Rail
2021-01-01,56,Quantum,1769,Pokémon Infinite Fusion
2021-01-01,57,CRREAM,1758,Squad
2021-01-01,58,odanghosty,1727,Call of Duty: Modern Warfare II
2021-01-01,59,dishsoaptft,1720,Teamfight Tactics
2021-01-01,60,Saintone,1718,Lost Ark
2021-01-01,61,captainlance9,1700,Path of Exile
2021-01-01,62,Ray__C,1698,Grand Theft Auto V
2021-01-01,63,Bigpuffer,1653,Overwatch 2
2021-01-01,64,Bastila,1645,Albion Online
2021-01-01,65,Lysium,1628,Grand Theft Auto V
2021-01-01,66,JOEYKAOTYK,1623,Just Chatting
2021-01-01,67,bebe872,1617,Teamfight Tactics
2021-01-01,68,wakewilder,1579,Just Chatting
2021-01-01,69,DatModz,1545,Lost Ark
2021-01-01,70,BobRoss,1531,Art
2021-01-01,71,Ohmwrecker,1523,Dead by Daylight
2021-01-01,72,ScrappyNJ,1382,Call of Duty: Modern Warfare II
2021-01-01,73,Capp,1287,Grand Theft Auto V
2021-01-01,74,pekeasmr,1390,ASMR
2021-01-01,75,starsmitten,1372,VALORANT
2021-01-01,76,KobeBlackMamba,1363,Path of Exile
2021-01-01,77,Rubee,1407,Honkai: Star Rail
2021-01-01,78,JASONR,1349,Counter-Strike: Global Offensive
2021-01-01,79,MDSwervin,1299,Grand Theft Auto V
2021-01-01,80,waterlynn,1295,Just Chatting
2021-01-01,81,KabajiOW,1197,Overwatch 2
2021-01-01,82,Scarra,1220,Path of Exile
2021-01-01,83,imrosen,1136,Chess
2021-01-01,84,Arex,1183,The Legend of Zelda: Breath of the Wild
2021-01-01,85,Bustin,1180,Just Chatting
2021-01-01,86,HyperRatTV,1168,Escape from Tarkov
2021-01-01,87,Graycen,1174,World of Warcraft
2021-01-01,88,Fairlight_Excalibur,1111,Advance Wars
2021-01-01,89,Harry,1093,Counter-Strike: Global Offensive
2021-01-01,90,itswill,1138,Minecraft
2021-01-01,91,notjccaylen,1131,Fortnite
2021-01-01,92,Autumn,1077,Dead Island 2
2021-01-01,93,Boon,1090,M.U.G.E.N
2021-01-01,94,Maxylobes,1081,Resident Evil 4
2021-01-01,95,ESL_CSGO,1073,Counter-Strike: Global Offensive
2021-01-01,96,Jenazad,1107,Honkai: Star Rail
2021-01-01,97,Anthony_Kongphan,1059,Star Wars Jedi: Survivor
2021-01-01,98,hitsquadgodfather,1056,Just Chatting
2021-01-01,99,cented,1091,Fortnite
2021-01-01,100,Fitzyhere,1039,Overwatch 2
